SampleYear,Site,DepthZone,Species,SpeciesGroupF,Latitude,Longitude,Density_m2
2016,SCAI - Bird Rock,Inner,Agarum fimbriatum,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Alaria marginata,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Desmarestia ligulata,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Desmarestia ligulata var. firma,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Egregia menziesii,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Eisenia arborea,kelp - understory,33.45181,-118.48762,0.033333333
2016,SCAI - Bird Rock,Inner,Eugorgia rubens,gorgonians,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Laminaria farlowii,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Leptogorgia alba,gorgonians,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Leptogorgia chilensis,gorgonians,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Muricea californica,gorgonians,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Muricea fruticosa,gorgonians,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Pterygophora californica,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Saccharina latissima,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Stephanocystis spp.,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Inner,Undaria pinnatifida,kelp - understory,33.45181,-118.48762,0
2016,SCAI - Bird Rock,Middle,Agarum fimbriatum,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Alaria marginata,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Desmarestia ligulata,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Desmarestia ligulata var. firma,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Egregia menziesii,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Eisenia arborea,kelp - understory,33.45201,-118.48766,0.066666667
2016,SCAI - Bird Rock,Middle,Eugorgia rubens,gorgonians,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Laminaria farlowii,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Leptogorgia alba,gorgonians,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Leptogorgia chilensis,gorgonians,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Muricea californica,gorgonians,33.45201,-118.48766,0.033333333
2016,SCAI - Bird Rock,Middle,Muricea fruticosa,gorgonians,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Pterygophora californica,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Saccharina latissima,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Stephanocystis spp.,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Middle,Undaria pinnatifida,kelp - understory,33.45201,-118.48766,0
2016,SCAI - Bird Rock,Outer,Agarum fimbriatum,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Alaria marginata,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Desmarestia ligulata,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Desmarestia ligulata var. firma,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Egregia menziesii,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Eisenia arborea,kelp - understory,33.45227,-118.48746,0.041666667
2016,SCAI - Bird Rock,Outer,Eugorgia rubens,gorgonians,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Laminaria farlowii,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Leptogorgia alba,gorgonians,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Leptogorgia chilensis,gorgonians,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Muricea californica,gorgonians,33.45227,-118.48746,0.016666667
2016,SCAI - Bird Rock,Outer,Muricea fruticosa,gorgonians,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Pterygophora californica,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Saccharina latissima,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Outer,Stephanocystis spp.,kelp - understory,33.45227,-118.48746,0.025
2016,SCAI - Bird Rock,Outer,Undaria pinnatifida,kelp - understory,33.45227,-118.48746,0
2016,SCAI - Bird Rock,Deep,Agarum fimbriatum,kelp - understory,33.45261,-118.48736,0.325
