Site,Latitude,Longitude,Region
120 Reef,33.73749,-118.39227,Palos Verdes
3 Palms East,33.71762,-118.33215,Palos Verdes
3 Palms West,33.71847,-118.33532,Palos Verdes
Abalone Cove Kelp East,33.74056,-118.38337,Palos Verdes
Abalone Cove Kelp West,33.73922,-118.38789,Palos Verdes
Albondigas,33.75051,-118.41525,Palos Verdes
Big Rock,34.03536,-118.60776,Malibu
Bunker Point,33.72465,-118.35317,Palos Verdes
Burial Grounds,33.72373,-118.34780,Palos Verdes
Cabrillo Breakwater,33.70630,-118.27444,Artificial Reef
Cabrillo Jetty,33.70625,-118.27867,Artificial Reef
Cairns,33.70744,-118.30963,Palos Verdes
Cape Point,33.72058,-118.34040,Palos Verdes
Christmas Tree Cove,33.76110,-118.42096,Palos Verdes
Deep Hole East,34.04522,-118.95920,Malibu
Deep Hole West,34.04664,-118.96173,Malibu
El Matador,34.03514,-118.87865,Malibu
El Pescador,34.03570,-118.89495,Malibu
El Sol,34.03736,-118.90753,Malibu
Escondido East,34.02215,-118.76708,Malibu
Escondido West,34.02029,-118.77356,Malibu
Flat Rock North,33.80147,-118.40779,Palos Verdes
Flat Rock South,33.79595,-118.41172,Palos Verdes
Golden Cove,33.75295,-118.41541,Palos Verdes
Hawthorne Reef,33.74662,-118.41657,Palos Verdes
Hermosa Beach AR - AC,33.85387,-118.41372,Artificial Reef
Hermosa Beach AR - Boxes,33.85279,-118.41301,Artificial Reef
Hermosa Beach AR - Giants,33.85370,-118.41297,Artificial Reef
Hermosa Beach AR - NW,33.85420,-118.41479,Artificial Reef
Hermosa Beach AR - Pier Pilings,33.85291,-118.41430,Artificial Reef
HK - Atlantis,33.67518,-118.22317,Horseshoe Kelp
HK - Fishing Reef,33.68030,-118.22327,Horseshoe Kelp
HK - H. Kelp,33.65683,-118.23005,Horseshoe Kelp
HK - IW,33.66133,-118.22850,Horseshoe Kelp
HK - Lobster Traps,33.69298,-118.16978,Horseshoe Kelp
HK - Queen Mary,33.68883,-118.18705,Horseshoe Kelp
HK - Reference Reef,33.67220,-118.21360,Horseshoe Kelp
HK - Southeast Rock,33.67538,-118.22238,Horseshoe Kelp
HK - Sportfisher,33.67518,-118.25307,Horseshoe Kelp
Honeymoon Cove,33.76500,-118.42476,Palos Verdes
KH - Bend,33.84338,-118.39866,Artificial Reef
KH - East Jetty,33.84195,-118.39365,Artificial Reef
KH - Point,33.84170,-118.39595,Artificial Reef
KH - Portofino,33.84471,-118.39719,Artificial Reef
KH - West Breakwater,33.84133,-118.39625,Artificial Reef
KOU Rock,33.71949,-118.33813,Palos Verdes
La Piedra,34.03388,-118.88587,Malibu
LACSD 120 Inch Outfall,33.70935,-118.32350,Artificial Reef
LACSD 90 Inch Outfall,33.71274,-118.32742,Artificial Reef
Lechuza,34.03505,-118.87098,Malibu
Leo Carrillo,34.04163,-118.93066,Malibu
Little Dume East,34.00869,-118.78859,Malibu
Little Dume West,34.00654,-118.79097,Malibu
Long Point East,33.73595,-118.40122,Palos Verdes
Long Point West,33.73829,-118.40359,Palos Verdes
Lunada Bay,33.77180,-118.43030,Palos Verdes
Malibu Bluffs,34.02825,-118.70594,Malibu
Malibu Bluffs Eelgrass,34.02716,-118.70484,Malibu
Marguerite Central,33.75687,-118.41784,Palos Verdes
Marguerite East,33.75524,-118.41700,Palos Verdes
