Site,Taxa,BRS_per_cov.mean
Rocky Point North,coralline algae - crustose,21.4344736842105
Honeymoon Cove,coralline algae - crustose,39.9406578947368
Marguerite Central,coralline algae - crustose,34.5875
Golden Cove,coralline algae - crustose,16.8618181818182
Point Vicente West,coralline algae - crustose,18.0815789473684
Abalone Cove Kelp West,coralline algae - crustose,23.5263793103448
Flat Rock North,coralline algae - crustose,22.3908823529412
Flat Rock South,coralline algae - crustose,20.4304166666667
Ridges North,coralline algae - crustose,20.5405882352941
Ridges South,coralline algae - crustose,21.57265625
Rocky Point South,coralline algae - crustose,15.6759375
Lunada Bay,coralline algae - crustose,22.7821875
Resort Point,coralline algae - crustose,25.856875
Christmas Tree Cove,coralline algae - crustose,41.1604
Marguerite West,coralline algae - crustose,44.6908333333333
Marguerite East,coralline algae - crustose,28.6284375
Underwater Arch,coralline algae - crustose,29.6366666666667
Albondigas,coralline algae - crustose,25.4963461538462
Hawthorne Reef,coralline algae - crustose,26.0992424242424
Long Point West,coralline algae - crustose,26.008125
Long Point East,coralline algae - crustose,20.66484375
Old Marineland,coralline algae - crustose,12.701875
120 Reef,coralline algae - crustose,17.54
Portuguese Point,coralline algae - crustose,20.02625
Portuguese Bend,coralline algae - crustose,7.81234375
Bunker Point,coralline algae - crustose,9.2746875
Burial Grounds,coralline algae - crustose,6.3009375
Old 18th,coralline algae - crustose,3.780625
Cape Point,coralline algae - crustose,11.089375
KOU Rock,coralline algae - crustose,9.67796875
3 Palms West,coralline algae - crustose,12.39859375
3 Palms East,coralline algae - crustose,14.81875
Whites Point,coralline algae - crustose,28.3604166666667
Cairns,coralline algae - crustose,10.41625
Point Fermin,coralline algae - crustose,24.8660416666667
Santa Monica AR - A,coralline algae - crustose,0
Santa Monica AR - B,coralline algae - crustose,0
Santa Monica AR - C,coralline algae - crustose,0.460714285714286
Marina del Rey AR - K,coralline algae - crustose,0.201875
Marina del Rey AR - I,coralline algae - crustose,0.40375
Marina del Rey AR - F,coralline algae - crustose,0.80625
Hermosa Beach AR - Giants,coralline algae - crustose,6.04875
Segovia,coralline algae - crustose,38.7854761904762
Nicholas Canyon West,coralline algae - crustose,19.355
Lechuza,coralline algae - crustose,31.29
Point Dume,coralline algae - crustose,7.85
Little Dume West,coralline algae - crustose,21.5046666666667
Escondido West,coralline algae - crustose,11.2915
PVR 2A,coralline algae - crustose,2.68916666666667
PVR 2B,coralline algae - crustose,1.88166666666667
PVR 2C,coralline algae - crustose,4.84083333333333
PVR 4B,coralline algae - crustose,1.61333333333333
PVR 4C,coralline algae - crustose,0.806666666666667
PVR 5A,coralline algae - crustose,2.9575
PVR 5B,coralline algae - crustose,2.95666666666667
PVR 5C,coralline algae - crustose,4.30083333333333
PVR 6A,coralline algae - crustose,3.22583333333333
PVR 6C,coralline algae - crustose,10.2158333333333
PVR 7A,coralline algae - crustose,10.215
PVR 7B,coralline algae - crustose,12.6358333333333
PVR 7C,coralline algae - crustose,7.52833333333333
PVR 8A,coralline algae - crustose,14.2483333333333
PVR 8B,coralline algae - crustose,13.9783333333333
PVR 8C,coralline algae - crustose,12.635
PVR 4D,coralline algae - crustose,1.936
PVR 6D,coralline algae - crustose,13.226
Hermosa Beach AR - Boxes,coralline algae - crustose,0
Redondo Beach AR - C,coralline algae - crustose,14.52
Redondo Beach AR - Barge,coralline algae - crustose,1.615
Redondo Beach AR - D,coralline algae - crustose,12.905
Redondo Beach AR - E,coralline algae - crustose,20.965
Wreck of the Avalon,coralline algae - crustose,11.29
Santa Monica Bay AR - 2,coralline algae - crustose,1.615
Santa Monica Bay AR - 7,coralline algae - crustose,0
Santa Monica Bay AR - 11,coralline algae - crustose,3.23
Santa Monica Bay AR - 16,coralline algae - crustose,1.615
Santa Monica Bay AR - 17,coralline algae - crustose,1.615
Santa Monica Bay AR - 18,coralline algae - crustose,0
Santa Monica Bay AR - 20,coralline algae - crustose,0
Santa Monica Bay AR - 22,coralline algae - crustose,3.225
Santa Monica Jetty - Exterior,coralline algae - crustose,0
Star of Scotland,coralline algae - crustose,0
Hermosa Beach AR - NW,coralline algae - crustose,0
Hermosa Beach AR - AC,coralline algae - crustose,1.615
Hermosa Beach AR - Pier Pilings,coralline algae - crustose,17.7425
Deep Hole West,coralline algae - crustose,30.64625
Deep Hole East,coralline algae - crustose,31.72
Leo Carrillo,coralline algae - crustose,15.32
Nicholas Canyon East,coralline algae - crustose,3.225
El Sol,coralline algae - crustose,17.7425
El Pescador,coralline algae - crustose,9.68
La Piedra,coralline algae - crustose,19.35
El Matador,coralline algae - crustose,8.8725
Little Dume East,coralline algae - crustose,18.28
Escondido East,coralline algae - crustose,7.2575
Malibu Bluffs,coralline algae - crustose,1.615
Big Rock,coralline algae - crustose,0
Santa Monica Bay AR - 5,coralline algae - crustose,0
Santa Monica Bay AR - 14,coralline algae - crustose,0
Santa Monica Jetty - Interior,coralline algae - crustose,0
Marina del Rey AR - O,coralline algae - crustose,0
Marina del Rey AR - H,coralline algae - crustose,0
Marina del Rey AR - C,coralline algae - crustose,0
Marina del Rey AR - R,coralline algae - crustose,0
Marina del Rey AR - Q,coralline algae - crustose,0
Marina del Rey Breakwater - Exterior,coralline algae - crustose,0
KH - West Breakwater,coralline algae - crustose,9.67833333333333
Redondo Beach AR - FG,coralline algae - crustose,19.355
Redondo Beach AR - IJ,coralline algae - crustose,4.84
