SampleYear,Site,DepthZone,Species,SpeciesGroupF,Latitude,Longitude,Density_m2,,,
2016,Flat Rock North,Inner,Eugorgia rubens,gorgonians,33.80023,-118.40684,0,,,
2016,Flat Rock North,Inner,Leptogorgia alba,gorgonians,33.80023,-118.40684,0,,,
2016,Flat Rock North,Inner,Leptogorgia chilensis,gorgonians,33.80023,-118.40684,0,,,
2016,Flat Rock North,Inner,Muricea californica,gorgonians,33.80023,-118.40684,0,,,
2016,Flat Rock North,Inner,Muricea fruticosa,gorgonians,33.80023,-118.40684,0,,,
2016,Flat Rock North,Middle,Eugorgia rubens,gorgonians,33.80118,-118.40722,0,,,
2016,Flat Rock North,Middle,Leptogorgia alba,gorgonians,33.80118,-118.40722,0,,,
2016,Flat Rock North,Middle,Leptogorgia chilensis,gorgonians,33.80118,-118.40722,0,,,
2016,Flat Rock North,Middle,Muricea californica,gorgonians,33.80118,-118.40722,0,,,
2016,Flat Rock North,Middle,Muricea fruticosa,gorgonians,33.80118,-118.40722,0,,,
2016,Flat Rock South,Inner,Eugorgia rubens,gorgonians,33.79615,-118.41076,0,,,
2016,Flat Rock South,Inner,Leptogorgia alba,gorgonians,33.79615,-118.41076,0,,,
2016,Flat Rock South,Inner,Leptogorgia chilensis,gorgonians,33.79615,-118.41076,0,,,
2016,Flat Rock South,Inner,Muricea californica,gorgonians,33.79615,-118.41076,0,,,
2016,Flat Rock South,Inner,Muricea fruticosa,gorgonians,33.79615,-118.41076,0,,,
2016,Flat Rock South,Middle,Eugorgia rubens,gorgonians,33.79626,-118.41255,0,,,
2016,Flat Rock South,Middle,Leptogorgia alba,gorgonians,33.79626,-118.41255,0,,,
2016,Flat Rock South,Middle,Leptogorgia chilensis,gorgonians,33.79626,-118.41255,0,,,
2016,Flat Rock South,Middle,Muricea californica,gorgonians,33.79626,-118.41255,0.025,,,
2016,Flat Rock South,Middle,Muricea fruticosa,gorgonians,33.79626,-118.41255,0,,,
2016,Flat Rock South,Outer,Eugorgia rubens,gorgonians,33.79483,-118.41682,0,,,
2016,Flat Rock South,Outer,Leptogorgia alba,gorgonians,33.79483,-118.41682,0,,,
2016,Flat Rock South,Outer,Leptogorgia chilensis,gorgonians,33.79483,-118.41682,0,,,
2016,Flat Rock South,Outer,Muricea californica,gorgonians,33.79483,-118.41682,0.083333333,,,
2016,Flat Rock South,Outer,Muricea fruticosa,gorgonians,33.79483,-118.41682,0,,,
2016,Ridges North,Inner,Eugorgia rubens,gorgonians,33.78687,-118.42081,0,,,
2016,Ridges North,Inner,Leptogorgia alba,gorgonians,33.78687,-118.42081,0,,,
2016,Ridges North,Inner,Leptogorgia chilensis,gorgonians,33.78687,-118.42081,0,,,
2016,Ridges North,Inner,Muricea californica,gorgonians,33.78687,-118.42081,0,,,
2016,Ridges North,Inner,Muricea fruticosa,gorgonians,33.78687,-118.42081,0,,,
2016,Ridges North,Middle,Eugorgia rubens,gorgonians,33.78791,-118.422,0,,,
2016,Ridges North,Middle,Leptogorgia alba,gorgonians,33.78791,-118.422,0,,,
2016,Ridges North,Middle,Leptogorgia chilensis,gorgonians,33.78791,-118.422,0,,,
2016,Ridges North,Middle,Muricea californica,gorgonians,33.78791,-118.422,0,,,
2016,Ridges North,Middle,Muricea fruticosa,gorgonians,33.78791,-118.422,0,,,
2016,Ridges North,Outer,Eugorgia rubens,gorgonians,33.78903,-118.42458,0,,,
2016,Ridges North,Outer,Leptogorgia alba,gorgonians,33.78903,-118.42458,0,,,
2016,Ridges North,Outer,Leptogorgia chilensis,gorgonians,33.78903,-118.42458,0,,,
2016,Ridges North,Outer,Muricea californica,gorgonians,33.78903,-118.42458,0.033333333,,,
2016,Ridges North,Outer,Muricea fruticosa,gorgonians,33.78903,-118.42458,0,,,
2016,Ridges North,Deep,Eugorgia rubens,gorgonians,33.79034,-118.42775,0,,,
2016,Ridges North,Deep,Leptogorgia alba,gorgonians,33.79034,-118.42775,0,,,
2016,Ridges North,Deep,Leptogorgia chilensis,gorgonians,33.79034,-118.42775,0.008333333,,,
2016,Ridges North,Deep,Muricea californica,gorgonians,33.79034,-118.42775,0.033333333,,,
2016,Ridges North,Deep,Muricea fruticosa,gorgonians,33.79034,-118.42775,0,,,
2016,Ridges South,Inner,Eugorgia rubens,gorgonians,33.78386,-118.42355,0,,,
2016,Ridges South,Inner,Leptogorgia alba,gorgonians,33.78386,-118.42355,0,,,
2016,Ridges South,Inner,Leptogorgia chilensis,gorgonians,33.78386,-118.42355,0,,,
2016,Ridges South,Inner,Muricea californica,gorgonians,33.78386,-118.42355,0,,,
2016,Ridges South,Inner,Muricea fruticosa,gorgonians,33.78386,-118.42355,0,,,
2016,Ridges South,Middle,Eugorgia rubens,gorgonians,33.78523,-118.42513,0,,,
2016,Ridges South,Middle,Leptogorgia alba,gorgonians,33.78523,-118.42513,0,,,
2016,Ridges South,Middle,Leptogorgia chilensis,gorgonians,33.78523,-118.42513,0,,,
